Context,ID,RU (Original),EN,ES,TR,AR
Square (Fast Track),FT_SQ_60_NAME,Школа будущего,,,,
Square (Fast Track),FT_SQ_60_DESC,Создать школу будущего для детей,,,,
Square (Fast Track),FT_SQ_61_NAME,Снять фильм,,,,
Square (Fast Track),FT_SQ_61_DESC,Снять полнометражный фильм,,,,
Square (Fast Track),FT_SQ_62_NAME,Рейдерский захват,,,,
Square (Fast Track),FT_SQ_62_DESC,Вы теряете бизнес с самым крупным доходом.,,,,
Square (Fast Track),FT_SQ_63_NAME,Лидер мнений,,,,
Square (Fast Track),FT_SQ_63_DESC,Стать мировым лидером мнений,,,,
Square (Fast Track),FT_SQ_64_NAME,Автомойки,,,,
Square (Fast Track),FT_SQ_64_DESC,Сеть автомоек самообслуживания,,,,
Square (Fast Track),FT_SQ_65_NAME,Белоснежная Яхта,,,,
Square (Fast Track),FT_SQ_65_DESC,Роскошная яхта для путешествий.,,,,
Square (Fast Track),FT_SQ_66_NAME,Франшиза,,,,
Square (Fast Track),FT_SQ_66_DESC,"Франшиза ""Поток денег""",,,,
Square (Fast Track),FT_SQ_67_NAME,Полёт в космос,,,,
Square (Fast Track),FT_SQ_67_DESC,Туристический полет на орбиту.,,,,
Square (Fast Track),FT_SQ_68_NAME,Пекарня,,,,
Square (Fast Track),FT_SQ_68_DESC,Пекарня с доставкой,,,,
Square (Fast Track),FT_SQ_69_NAME,Благотворительный фонд,,,,
Square (Fast Track),FT_SQ_69_DESC,Организовать благотворительный фонд,,,,
Square (Fast Track),FT_SQ_70_NAME,Образовательная платформа,,,,
Square (Fast Track),FT_SQ_70_DESC,Онлайн-образовательная платформа,,,,
Square (Fast Track),FT_SQ_71_NAME,Лотерея,,,,
Square (Fast Track),FT_SQ_71_DESC,Выпадет любая сделка внешнего круга.,,,,
CARD_EXPENSE,e1_TITLE,Обед в ресторане,,,,
CARD_EXPENSE,e1_DESC,С друзьями.,,,,
CARD_EXPENSE,e2_TITLE,Ремонт кофемашины,,,,
CARD_EXPENSE,e2_DESC,Поломка.,,,,
CARD_EXPENSE,e3_TITLE,Новые кроссовки,,,,
CARD_EXPENSE,e3_DESC,Спорт.,,,,
CARD_EXPENSE,e4_TITLE,Штраф ПДД,,,,
CARD_EXPENSE,e4_DESC,Превышение скорости.,,,,
CARD_EXPENSE,e5_TITLE,Ужин премиум,,,,
CARD_EXPENSE,e5_DESC,Гастрономический сет.,,,,
CARD_EXPENSE,e6_TITLE,Концерт,,,,
CARD_EXPENSE,e6_DESC,Обычные места.,,,,
CARD_EXPENSE,e7_TITLE,Подписки на сервисы,,,,
CARD_EXPENSE,e7_DESC,Годовая подписка.,,,,
CARD_EXPENSE,e8_TITLE,Абонемент в фитнес,,,,
CARD_EXPENSE,e8_DESC,Квартальный.,,,,
CARD_EXPENSE,e9_TITLE,Благотворительность,,,,
CARD_EXPENSE,e9_DESC,Пожертвование.,,,,
CARD_EXPENSE,e10_TITLE,Ветеринар,,,,
CARD_EXPENSE,e10_DESC,Лечение питомца.,,,,
CARD_EXPENSE,e11_TITLE,Новый смартфон,,,,
CARD_EXPENSE,e11_DESC,Бюджетная модель.,,,,
CARD_EXPENSE,e12_TITLE,ТО Автомобиля,,,,
CARD_EXPENSE,e12_DESC,Замена масла и фильтров.,,,,
CARD_EXPENSE,e13_TITLE,Шопинг,,,,
CARD_EXPENSE,e13_DESC,Одежда (сезонная).,,,,
CARD_EXPENSE,e14_TITLE,Бытовая техника,,,,
CARD_EXPENSE,e14_DESC,Посудомоечная машина.,,,,
CARD_EXPENSE,e15_TITLE,Ремонт машины,,,,
CARD_EXPENSE,e15_DESC,Замена деталей.,,,,
CARD_EXPENSE,e16_TITLE,Стоматолог,,,,
CARD_EXPENSE,e16_DESC,Лечение зубов.,,,,
CARD_EXPENSE,e17_TITLE,Страховка,,,,
CARD_EXPENSE,e17_DESC,Страхование жизни.,,,,
CARD_EXPENSE,e18_TITLE,Новый ноутбук,,,,
CARD_EXPENSE,e18_DESC,Рабочий инструмент.,,,,
CARD_EXPENSE,e19_TITLE,Отпуск,,,,
CARD_EXPENSE,e19_DESC,Тур на море.,,,,
CARD_EXPENSE,e20_TITLE,Брендовая сумка,,,,
CARD_EXPENSE,e20_DESC,Подарок.,,,,
CARD_EXPENSE,e21_TITLE,Ремонт дома,,,,
CARD_EXPENSE,e21_DESC,Косметический ремонт.,,,,
CARD_EXPENSE,e22_TITLE,Обслуживание катера,,,,
CARD_EXPENSE,e22_DESC,Сезонное обслуживание.,,,,
CARD_EXPENSE,e23_TITLE,Подарок на свадьбу,,,,
CARD_EXPENSE,e23_DESC,Щедрый подарок.,,,,
CARD_EXPENSE,e24_TITLE,Аренда виллы,,,,
CARD_EXPENSE,e24_DESC,Вечеринка для друзей.,,,,
CARD,sd_tsla_15_TITLE,Акции: Tesla,,,,
CARD,sd_tsla_15_DESC,Цена $15. Колебания $15-$200.,,,,
CARD,sd_tsla_20_TITLE,Акции: Tesla,,,,
CARD,sd_tsla_20_DESC,Цена $20. Колебания $15-$200.,,,,
CARD,sd_tsla_40_TITLE,Акции: Tesla,,,,
CARD,sd_tsla_40_DESC,Цена $40. Колебания $15-$200.,,,,
CARD,sd_tsla_60_TITLE,Акции: Tesla,,,,
CARD,sd_tsla_60_DESC,Цена $60. Колебания $15-$200.,,,,
CARD,sd_tsla_80_TITLE,Акции: Tesla,,,,
CARD,sd_tsla_80_DESC,Цена $80. Колебания $15-$200.,,,,
CARD,sd_tsla_160_TITLE,Акции: Tesla,,,,
CARD,sd_tsla_160_DESC,Цена $160. Колебания $15-$200.,,,,
CARD,sd_tsla_180_TITLE,Акции: Tesla,,,,
CARD,sd_tsla_180_DESC,Цена $180. Колебания $15-$200.,,,,
CARD,sd_tsla_200_TITLE,Акции: Tesla,,,,
CARD,sd_tsla_200_DESC,Цена $200. Колебания $15-$200.,,,,
CARD,sd_ton_1_TITLE,TON Token ($1),,,,
CARD,sd_ton_1_DESC,TON Token (криптовалюта),,,,
CARD,sd_ton_2_TITLE,TON Token ($2),,,,
CARD,sd_ton_2_DESC,TON Token (криптовалюта),,,,
CARD,sd_ton_3_TITLE,TON Token ($3),,,,
CARD,sd_ton_3_DESC,TON Token (криптовалюта),,,,
CARD,sd_ton_5_TITLE,TON Token ($5),,,,
CARD,sd_ton_5_DESC,TON Token (криптовалюта),,,,
CARD,sd_ton_10_TITLE,TON Token ($10),,,,
CARD,sd_ton_10_DESC,TON Token (криптовалюта),,,,
CARD,sd_btc_4k_TITLE,Bitcoin,,,,
CARD,sd_btc_4k_DESC,"Криптовалюта на дне. Цена $4,000.",,,,
CARD,sd_btc_10k_TITLE,Bitcoin,,,,
CARD,sd_btc_10k_DESC,"Крипто-зима. Цена $10,000.",,,,
CARD,sd_btc_20k_TITLE,Bitcoin,,,,
CARD,sd_btc_20k_DESC,"Биткоин на хайпе. Цена $20,000",,,,
CARD,sd_btc_30k_TITLE,Bitcoin,,,,
CARD,sd_btc_30k_DESC,"Биткоин штурмует максимумы. Цена $30,000.",,,,
CARD,sd_btc_50k_TITLE,Bitcoin,,,,
CARD,sd_btc_50k_DESC,"Биткоин растет! Цена $50,000.",,,,
CARD,sd_btc_100k_TITLE,Bitcoin,,,,
CARD,sd_btc_100k_DESC,"To The Moon! Цена $100,000.",,,,
CARD,sd_att_pref_1_TITLE,Акции: AT&T (Pref),,,,
CARD,sd_att_pref_1_DESC,Привилегированные акции AT&T. Дивиденды $50/акцию. Макс 1000 шт.,,,,
CARD,sd_att_pref_2_TITLE,Акции: AT&T (Pref),,,,
CARD,sd_att_pref_2_DESC,Привилегированные акции AT&T. Дивиденды $50/акцию. Макс 1000 шт.,,,,
CARD,sd_pg_pref_1_TITLE,Акции: P&G (Pref),,,,
CARD,sd_pg_pref_1_DESC,Привилегированные акции P&G. Дивиденды $10/акцию. Макс 1000 шт.,,,,
CARD,sd_pg_pref_2_TITLE,Акции: P&G (Pref),,,,
CARD,sd_pg_pref_2_DESC,Привилегированные акции P&G. Дивиденды $10/акцию. Макс 1000 шт.,,,,
CARD,sd_room_1_TITLE,Комната в пригороде,,,,
CARD,sd_room_1_DESC,Сдача в аренду. ROI ~100%.,,,,
CARD,sd_room_2_TITLE,Комната в пригороде,,,,
CARD,sd_room_2_DESC,Сдача в аренду. ROI ~100%.,,,,
CARD,sd_room_3_TITLE,Комната в пригороде,,,,
CARD,sd_room_3_DESC,Сдача в аренду. ROI ~100%.,,,,
CARD,sd_room_4_TITLE,Комната в пригороде,,,,
CARD,sd_room_4_DESC,Сдача в аренду. ROI ~100%.,,,,
CARD,sd_room_5_TITLE,Комната в пригороде,,,,
CARD,sd_room_5_DESC,Сдача в аренду. ROI ~100%.,,,,
CARD,sd_nail_TITLE,Студия маникюра,,,,
CARD,sd_nail_DESC,Студия маникюра на 1 место.,,,,
CARD,sd_shawarma_TITLE,Шаверма,,,,
CARD,sd_shawarma_DESC,Откройте бизнес по продаже шаурмы. Бросок кубика = 200 пассивного дохода.,,,,
CARD,sd_coffee_TITLE,Кофейня,,,,
CARD,sd_coffee_DESC,Небольшая кофейня.,,,,
CARD,sd_sushi_TITLE,Суши/Ролы,,,,
CARD,sd_sushi_DESC,Откройте бизнес. Бросок кубика = 200 пассивного дохода.,,,,
CARD,sd_auto_TITLE,Партнёрство в автомастерской,,,,
CARD,sd_auto_DESC,Доля в бизнесе.,,,,
CARD,sd_vet_TITLE,Ветеринарный центр,,,,
CARD,sd_vet_DESC,Доля в бизнесе.,,,,
CARD,sd_land_20_TITLE,Участок земли 20га,,,,
CARD,sd_land_20_DESC,Земля без дохода.,,,,
CARD,sd_land_25_TITLE,Участок земли 20га,,,,
CARD,sd_land_25_DESC,Земля без дохода.,,,,
CARD,sd_drone_TITLE,Покупка дрона,,,,
CARD,sd_drone_DESC,Дрон для съёмок.,,,,
CARD,sd_flip_1_TITLE,Флипинг студии,,,,
CARD,sd_flip_1_DESC,Покупка и быстрая перепродажа (или доход).,,,,
CARD,sd_flip_2_TITLE,Флипинг студии,,,,
CARD,sd_flip_2_DESC,Покупка и быстрая перепродажа (или доход).,,,,
CARD,sd_flip_3_TITLE,Флипинг студии,,,,
CARD,sd_flip_3_DESC,Покупка и быстрая перепродажа (или доход).,,,,
CARD,sd_flip_4_TITLE,Флипинг студии,,,,
CARD,sd_flip_4_DESC,Покупка и быстрая перепродажа (или доход).,,,,
CARD,sd_flip_5_TITLE,Флипинг студии,,,,
CARD,sd_flip_5_DESC,"Покупка и быстрая перепродажа (или доход). Есть покупатель на рынке за $15,000.",,,,
CARD,sd_mlm_1_TITLE,Сетевой бизнес,,,,
CARD,sd_mlm_1_DESC,Старт в MLM компании.,,,,
CARD,sd_mlm_2_TITLE,Сетевой бизнес,,,,
CARD,sd_mlm_2_DESC,Старт в MLM компании.,,,,
CARD,sd_mlm_3_TITLE,Сетевой бизнес,,,,
CARD,sd_mlm_3_DESC,Старт в MLM компании.,,,,
CARD,sd_plazma_1_TITLE,Сетевой бизнес: Plazma Water,,,,
CARD,sd_plazma_1_DESC,Plazma Water. Кол-во партнеров = Бросок кубика. ($100/партнер),,,,
CARD,sd_plazma_2_TITLE,Сетевой бизнес: Plazma Water,,,,
CARD,sd_plazma_2_DESC,Plazma Water. Кол-во партнеров = Бросок кубика. ($100/партнер),,,,
CARD,sd_plazma_3_TITLE,Сетевой бизнес: Plazma Water,,,,
CARD,sd_plazma_3_DESC,Plazma Water. Кол-во партнеров = Бросок кубика. ($100/партнер),,,,
CARD,sd_moneo_100_TITLE,Сетевой бизнес: MONEO,,,,
CARD,sd_moneo_100_DESC,MONEO Network. Кол-во партнеров = Бросок кубика. ($50/партнер),,,,
CARD,sd_moneo_1000_TITLE,Сетевой бизнес: MONEO,,,,
CARD,sd_moneo_1000_DESC,MONEO Network. Кол-во партнеров = Бросок кубика. ($200/партнер),,,,
CARD,sd_moneo_10000_TITLE,Сетевой бизнес: MONEO,,,,
CARD,sd_moneo_10000_DESC,MONEO Network. Кол-во партнеров = Бросок кубика. ($500/партнер),,,,
CARD,sd_friend_l1_TITLE,Друг просит в займ,,,,
CARD,sd_friend_l1_DESC,"Ваш друг просит $5,000 на ""верное дело"". Помочь?",,,,
CARD,sd_friend_w1_TITLE,Друг просит в займ,,,,
CARD,sd_friend_w1_DESC,"Ваш друг просит $5,000 на ""верное дело"". Помочь?",,,,
CARD,sd_friend_l2_TITLE,Друг просит в займ,,,,
CARD,sd_friend_l2_DESC,"Ваш друг просит $5,000 на ""верное дело"". Помочь?",,,,
CARD,sd_insurance_TITLE,Страховка,,,,
CARD,sd_insurance_DESC,Международная страховая компания в случае серьезной болезни или аварии возьмет на себя все расходы.,,,,
CARD,sd_guide_TITLE,Малый бизнес,,,,
CARD,sd_guide_DESC,"Вы отлично знаете живописные места, вы составили маршрут и провели по нему туристов.",,,,
CARD,sd_health_TITLE,Оздоровительный центр,,,,
CARD,sd_health_DESC,Откройте франшизу оздоровительного Центра = Бросок кубика. ($300/доход),,,,
CARD,sd_boutique_TITLE,Бутик одежды,,,,
CARD,sd_boutique_DESC,Откройте франшизу бутика дизайнерской одежды.,,,,
CARD,sd_laser_TITLE,Франшиза Лазерной эпиляции,,,,
CARD,sd_laser_DESC,"Откройте франшизу сети студий лазерной эпиляции, уже больше 50 филиалов в СНГ.",,,,
CARD,bd_house_ex_TITLE,Дом (3Br/2Ba),,,,
CARD,bd_house_ex_DESC,Дом под сдачу. Цена $7000-10000. Доход $200.,,,,
CARD,bd_8plex_3_TITLE,"ЖК ""Заря""",,,,
CARD,bd_8plex_3_DESC,Эконом класс.,,,,
CARD,bd_moneo_franchise_TITLE,Франшиза MONEO,,,,
CARD,bd_moneo_franchise_DESC,Франшиза MONEO. Стабильный доход при минимальной вовлеченности.,,,,Frontend Label,deposit/page.tsx,Заявка отправлена!,,,,
Frontend Label,deposit/page.tsx,Мы проверим ваш платеж в ближайшее время. Скриншот отправлен администратору.,,,,
Frontend Label,deposit/page.tsx,"router.back()}
                    className=""w-full py-3 bg-blue-600 rounded-xl font-bold text-white hover:bg-blue-500""
                >
                    Вернуться назад",,,,
Frontend Label,deposit/page.tsx,"{step === 'METHOD' && 'Выберите способ'}
                    {step === 'AMOUNT' && 'Введите сумму'}
                    {step === 'PROOF' && 'Подтверждение'}",,,,
Frontend Label,deposit/page.tsx,Ваша сумма ($),,,,
Frontend Label,deposit/page.tsx,"{
                                setAmount('');
                                setCustomAmount(e.target.value);
                            }}
                            placeholder=""Введите сумму""
                            className=""w-full p-4 bg-slate-800 border border-slate-700 rounded-xl text-white outline-none focus:border-blue-500""
                        />",,,,
Frontend Label,deposit/page.tsx,Далее,,,,
Frontend Label,deposit/page.tsx,К оплате,,,,
Frontend Label,deposit/page.tsx,Кошелек / Реквизиты:,,,,
Frontend Label,deposit/page.tsx,Скопировано,,,,
Frontend Label,deposit/page.tsx,Прикрепите скриншот,,,,
Frontend Label,deposit/page.tsx,Нажмите чтобы загрузить,,,,
Frontend Label,deposit/page.tsx,"router.back()}
                            className=""flex-1 py-4 bg-slate-700 rounded-xl font-bold text-white hover:bg-slate-600""
                        >
                            Отмена",,,,
Frontend Label,deposit/page.tsx,{loading ? 'Отправка...' : 'Отправить'},,,,
Frontend Label,deposit/page.tsx,Сбербанк (RUB),,,,
Frontend Label,deposit/page.tsx,+79164632850 (Роман Богданович П.),,,,
Frontend Label,deposit/page.tsx,Ошибка авторизации. Зайдите через Telegram.,,,,
Frontend Label,deposit/page.tsx,Ошибка отправки,,,,
Frontend Label,deposit/page.tsx,Выберите способ,,,,
Frontend Label,deposit/page.tsx,Введите сумму,,,,
Frontend Label,deposit/page.tsx,Подтверждение,,,,
Frontend Label,deposit/page.tsx,Отправка...,,,,
Frontend Label,deposit/page.tsx,Отправить,,,,
Frontend Label,earn/AvatarPurchase.tsx,Аватары Матрицы,,,,
Frontend Label,earn/AvatarPurchase.tsx,{myAvatars.length} аватаров,,,,
Frontend Label,earn/AvatarPurchase.tsx,Мои Аватары,,,,
Frontend Label,earn/AvatarPurchase.tsx,✓ Закрыто,,,,
Frontend Label,earn/AvatarPurchase.tsx,{avatar.hasActiveSubscription ? 'Активна' : 'Истекла'},,,,
Frontend Label,earn/AvatarPurchase.tsx,Доход аватара:,,,,
Frontend Label,earn/AvatarPurchase.tsx,Базовый Аватар,,,,
Frontend Label,earn/AvatarPurchase.tsx,1 месяц,,,,
Frontend Label,earn/AvatarPurchase.tsx,Продвинутый Аватар,,,,
Frontend Label,earn/AvatarPurchase.tsx,1 год,,,,
Frontend Label,earn/AvatarPurchase.tsx,Премиум Аватар,,,,
Frontend Label,earn/AvatarPurchase.tsx,Навсегда,,,,
Frontend Label,earn/AvatarPurchase.tsx,"Недостаточно зеленого баланса! Нужно $${cost}, у вас $${balance}",,,,
Frontend Label,earn/AvatarPurchase.tsx,Превышен лимит премиум аватаров (25 max),,,,
Frontend Label,earn/AvatarPurchase.tsx,Купить ${AVATAR_TYPES.find(a => a.type === type)?.name} за $${cost}?,,,,
Frontend Label,earn/AvatarPurchase.tsx,✅ Аватар куплен!,,,,
Frontend Label,earn/AvatarPurchase.tsx,Ошибка: ${data.error},,,,
Frontend Label,earn/AvatarPurchase.tsx,Ошибка покупки,,,,
Frontend Label,earn/AvatarPurchase.tsx,">
                            Общий доход: <span className=",,,,
Frontend Label,earn/AvatarPurchase.tsx,Бессрочно,,,,
Frontend Label,earn/AvatarPurchase.tsx,Активна,,,,
Frontend Label,earn/AvatarPurchase.tsx,Истекла,,,,
Frontend Label,earn/AvatarPurchase.tsx,Посмотреть матрицу,,,,
Frontend Label,earn/BalanceModal.tsx,Управление балансом,,,,
Frontend Label,earn/BalanceModal.tsx,Пополнить,,,,
Frontend Label,earn/BalanceModal.tsx,Вывести,,,,
Frontend Label,earn/BalanceModal.tsx,Зеленый Баланс,,,,
Frontend Label,earn/BalanceModal.tsx,"Доступно для покупки аватаров, подписок и вывода средств.",,,,
Frontend Label,earn/BalanceModal.tsx,Пополните баланс криптовалютой или переводом через банк.,,,,
Frontend Label,earn/BalanceModal.tsx,"setStep('AMOUNT')}
                                    className=""text-slate-400 hover:text-white text-xs flex items-center gap-1 mb-2""
                                >
                                    ← Назад к сумме",,,,
Frontend Label,earn/BalanceModal.tsx,Ваш тариф:,,,,
Frontend Label,earn/BalanceModal.tsx,Сумма вывода,,,,
Frontend Label,earn/BalanceModal.tsx,"setWithdrawAmount(balance.toString())}
                                                className=""absolute right-2 top-1/2 -translate-y-1/2 text-[10px] bg-slate-800 text-blue-400 px-2 py-1 rounded hover:bg-slate-700 transition""
                                            >
                                                МАКС",,,,
Frontend Label,earn/BalanceModal.tsx,Сумма вывода:,,,,
